user_id,item_id,rating,timestamp
807,1411,1,893082619
474,659,5,887925187
463,268,4,877384940
139,286,4,879537844
621,751,4,883799651
264,137,3,886122892
262,219,3,879794206
7,300,4,891350703
653,393,2,880152426
235,198,3,889655044
338,189,4,879438449
592,307,4,882607528
405,1478,1,885546636
394,176,5,881130008
325,1411,4,891478981
74,272,5,888333194
727,474,3,883710910
457,458,3,882393765
880,793,4,880174677
573,492,4,885843964
178,11,5,882826162
405,994,1,885549746
299,474,5,877880474
919,815,2,875289533
218,1073,5,881288265
15,111,4,879455914
749,238,3,878847863
610,275,4,888703453
343,135,5,876404568
478,137,4,889398260
870,1267,2,879270213
938,151,4,891356679
2,300,4,888979197
932,514,5,891249932
191,332,2,891562090
680,25,4,876816310
689,151,3,876676501
767,187,4,891462658
262,278,3,879790741
241,310,4,887249576
363,370,3,891500269
692,476,3,876953279
6,498,4,883601053
215,134,4,891435266
58,50,4,884304328
580,222,3,884125292
181,1296,1,878962006
454,492,3,888266643
643,674,3,891449901
693,218,4,875483473
838,72,4,887067162
99,409,2,885679411
488,200,2,891294606
7,268,3,891350703
697,1067,5,882622170
772,315,5,889028363
42,409,3,881106270
561,217,3,885810858
247,1022,4,893097024
108,471,2,879880076
487,282,4,883442105
568,494,4,877907835
178,1016,4,882824253
308,193,3,887737837
397,178,5,885349759
158,510,3,880134296
806,47,4,882387563
712,232,3,874956903
693,210,3,875484044
610,606,5,888703343
604,443,3,883668352
470,221,4,879178370
584,114,4,885778238
312,1172,5,891699538
820,264,3,887955180
455,508,4,882141385
316,323,1,880853152
868,726,2,877109926
152,944,4,882476632
450,612,4,882396564
809,333,3,891036903
320,233,4,884749281
896,225,1,887161518
379,621,4,880525815
486,883,3,879874388
561,234,3,885808824
235,483,5,889655204
393,154,2,887746302
637,408,5,882901355
254,15,3,886471307
869,282,3,884490987
427,680,5,879701326
264,1009,4,886124417
918,433,2,891987082
158,229,3,880134532
766,435,3,891309053
287,941,3,875335424
917,248,4,882912385
276,943,4,883822485
387,52,5,886483497
450,616,4,882373597
268,151,3,875742470
357,841,3,878951918
334,347,3,891547445
425,27,3,878738695
845,896,3,885409374
943,318,3,888639093
554,276,3,876548886
293,507,4,888905665
292,56,5,881105373
608,655,5,880405395
254,649,1,886474619
881,521,4,876537870
406,482,5,879446588
691,79,5,875543025
60,207,3,883327342
881,88,3,876538595
332,684,5,888360370
568,1203,5,877907281
70,161,3,884067638
7,391,3,892132943
487,820,3,883444884
632,679,4,879459321
916,195,3,880844920
886,1217,4,876033602
664,732,3,876525315
234,40,2,892335894
144,194,5,888105287
933,168,3,874853869
606,138,3,880927923
560,321,3,879975151
303,514,5,879466667
314,1152,4,877887469
500,133,3,883875681
433,474,3,880585759
634,274,3,876170992
825,508,4,880756725
407,519,4,875042466
897,465,5,879992030
716,95,4,879794775
524,520,3,884637314
36,873,3,882157386
720,872,3,891262780
536,195,4,882359431
452,603,4,887718667
21,551,3,874951898
324,273,5,880575449
381,225,3,892697495
650,72,2,891386755
181,146,1,878962955
38,400,1,892434036
689,471,4,876676433
169,483,3,891359200
91,616,4,891439439
1,83,3,875072370
160,640,3,876860808
299,1141,4,877880522
357,473,3,878951831
206,332,3,888179602
802,196,3,875985239
640,214,5,874778274
160,135,4,876860807
588,208,3,890023879
177,1110,3,880131123
42,451,2,881108982
201,656,4,884111775
815,65,5,878694664
59,125,3,888203658
849,406,4,879695125
716,180,3,879794815
314,763,5,877886706
222,732,4,878183425
145,106,4,875270655
868,662,2,877103714
425,318,2,878737841
370,435,3,879434999
554,1012,3,876231839
6,531,4,883600747
94,186,4,891722278
567,504,4,882425874
285,151,5,890595636
450,1249,3,882812821
109,755,5,880578814
63,306,3,875746948
641,64,4,879370337
702,300,3,885767461
279,80,4,875313750
829,192,5,881712519
239,288,2,889178513
617,635,4,883789716
916,421,5,880844291
642,204,4,885602593
405,969,3,885545015
896,28,2,887158738
621,1185,3,881445012
59,196,5,888205088
87,732,4,879876703
864,232,4,888889327
382,1381,3,875945757
664,203,4,876526685
340,502,2,884991678
185,321,5,883524428
43,781,3,883956494
276,289,2,890979634
362,264,1,885019695
109,395,3,880583672
624,597,3,879793129
254,21,3,886474518
619,300,5,885953684
429,248,5,882386870
29,189,4,882821942
622,588,4,882592246
105,307,2,889214381
121,292,4,891388960
40,337,4,889041523
655,872,3,888685879
889,94,4,880181646
659,86,5,891386071
881,172,4,876538986
346,1110,1,875264985
425,679,3,878738548
210,208,5,887730443
429,80,3,882386684
200,951,5,884130014
38,758,1,892434626
894,318,5,879897168
655,1100,3,887427371
897,56,2,879991037
59,755,4,888206254
704,603,5,891397262
612,127,2,875325049
213,127,5,878870790
721,471,5,877138200
488,222,4,891376029
938,276,3,891356572
344,597,2,884900454
723,988,1,880499254
116,294,2,876453376
345,365,2,884993760
314,501,4,877888610
718,546,4,883349158
345,534,4,884994592
95,432,3,879197886
659,942,3,891386347
863,754,3,889289067
252,410,5,891456989
5,42,5,875636360
390,258,5,879693461
314,710,3,877888796
592,344,4,888553156
871,182,5,888192925
853,288,4,879364822
327,708,4,887818596
96,216,4,884403095
10,705,4,877892050
711,254,2,879992038
828,1005,3,891037813
416,846,3,878878779
737,58,4,884314970
291,741,5,874834481
70,173,4,884149452
527,213,4,879456186
400,323,4,885676582
